"","Control1","Control2","Control3","M1","M2","M3"
"Cox8c",-1,-1,-1,-1,-1,-1
"Cp",1,1,0,-1,-1,0
"Cpa1",-1,-1,0,-1,-1,-1
"Cpa2",-1,0,-1,1,-1,-1
"Cpa3",0,-1,1,-1,0,1
"Cpa5",-1,-1,-1,-1,-1,-1
"Cpa6",-1,0,1,-1,-1,-1
"Cpne7",0,1,-1,0,-1,1
"Cpox",0,1,1,-1,-1,0
"Cps1",-1,-1,0,-1,-1,-1
"Cpt1a",-1,0,1,-1,0,1
"Cpt1b",1,-1,0,-1,1,0
"Cpt1c",-1,1,0,1,-1,0
"Cpt2",1,-1,0,-1,1,0
"Crat",1,-1,0,-1,1,0
"Crcp",-1,-1,1,1,0,0
"Crebbp",-1,1,1,0,-1,0
"Crisp1",-1,-1,-1,0,-1,-1
"Crls1",1,-1,-1,0,1,0
"Crot",0,-1,1,-1,0,1
"Cryl1",1,1,-1,0,-1,0
"Cryz",0,-1,-1,1,0,1
"Cs",1,-1,0,-1,1,0
"Csad",0,-1,-1,0,1,1
"Csgalnact1",-1,0,1,0,-1,1
"Csgalnact2",0,1,1,0,-1,-1
"Csnk1g2",-1,1,-1,0,0,1
"Ctbp1",-1,0,-1,1,0,1
"Ctdspl2",-1,1,1,0,-1,0
"Cth",-1,-1,1,0,0,1
"Ctps",0,-1,1,1,-1,0
"Ctps2",-1,0,1,0,-1,1
"Ctsa",0,1,0,-1,-1,1
"Ctsb",-1,-1,1,0,0,1
"Ctsc",-1,0,1,0,-1,1
"Ctsd",0,-1,-1,1,0,1
"Ctse",1,1,0,-1,-1,0
"Ctsf",-1,1,0,-1,1,0
"Ctsg",-1,-1,1,-1,-1,-1
"Ctsh",-1,1,0,0,-1,1
"Ctsk",0,-1,1,0,-1,1
"Ctsl",-1,1,1,0,-1,0
"Ctso",-1,0,1,1,-1,0
"Ctss",0,1,0,-1,-1,1
"Ctsw",0,1,0,-1,-1,1
"Ctsz",1,0,-1,-1,1,0
"Cubn",1,0,1,-1,-1,0
"Cwc27",0,1,1,0,-1,-1
"Cyb5d1",0,-1,1,1,-1,0
"Cyb5r1",0,0,-1,-1,1,1
"Cyb5r2",1,0,1,-1,-1,0
"Cyb5r3",0,-1,0,1,-1,1
"Cyb5r4",0,1,1,-1,0,-1
"Cyb5rl",-1,0,0,-1,1,1
"Cybrd1",-1,1,0,0,-1,1
"Cyc1",1,-1,-1,0,1,0
"Cyld",-1,1,1,0,-1,0
"Cyp11a1",-1,-1,1,0,0,1
"Cyp11b1",-1,-1,-1,-1,-1,-1
"Cyp11b2",-1,-1,-1,-1,-1,-1
"Cyp17a1",-1,0,-1,-1,-1,1
"Cyp19a1",-1,-1,-1,-1,-1,-1
"Cyp1a1",0,-1,0,1,1,-1
"Cyp1a2",-1,-1,0,-1,-1,-1
"Cyp1b1",0,1,1,-1,-1,0
"Cyp21a1",1,0,-1,0,-1,-1
"Cyp24a1",0,1,0,-1,-1,0
"Cyp26a1",-1,-1,-1,0,1,0
"Cyp26b1",0,-1,1,-1,0,1
"Cyp27a1",-1,-1,0,1,0,1
"Cyp27b1",1,-1,0,-1,-1,-1
"Cyp2a4",-1,-1,-1,-1,-1,-1
"Cyp2b13",-1,-1,-1,-1,-1,-1
"Cyp2b19",-1,0,-1,-1,-1,-1
"Cyp2b9",-1,-1,-1,0,-1,-1
"Cyp2c29",-1,-1,0,-1,-1,-1
"Cyp2c38",-1,-1,-1,-1,-1,-1
"Cyp2c39",-1,-1,-1,-1,-1,-1
"Cyp2c55",-1,-1,-1,-1,-1,-1
"Cyp2c65",-1,-1,-1,-1,-1,-1
"Cyp2c66",-1,-1,-1,-1,-1,-1
"Cyp2d22",0,1,-1,-1,1,0
"Cyp2e1",-1,-1,1,0,0,1
"Cyp2f2",1,1,0,0,-1,-1
"Cyp2j6",-1,-1,1,0,1,0
"Cyp2j9",-1,1,1,0,-1,0
