"","Control1","Control2","Control3","M1","M2","M3"
"NewGene_4113",0.795177,0.808517,1.09486,0.827637,0.86722,0.887891
"Gm21190",0.083244,0.558143,0.181976,0.645291,0.231081,0.294053
"Kcnip1",0.034285,0,0,0,0,0
"NewGene_4114",0,0.129873,0,0,0,0
"Nrd1",26.656565,27.031234,38.274495,24.363663,25.779875,29.387196
"Haghl",3.061615,5.173465,3.093896,3.873874,3.191289,3.913666
"Gsr",12.162432,14.635497,16.32225,16.241476,11.085019,15.705095
"Wrn",2.292879,2.029489,3.434082,2.150937,1.610749,1.912257
"Cdh3",0.828212,2.465243,0.90012,1.079065,0.347129,0.800363
"Zfp277",5.528622,7.722744,7.965816,5.285146,4.682566,6.88922
"Tmem150a",6.031988,6.270373,5.629775,5.523889,9.228936,8.446653
"Cnr2",0.442444,0.347637,0.562873,0.425887,0.323973,0.785837
"Timm17a",11.245436,9.325417,8.75208,8.822986,13.020811,9.740151
"Atp13a2",10.870889,14.251356,7.398943,10.082938,8.605414,12.811615
"Mgat4b",39.671463,41.137688,36.864201,55.339005,48.577344,52.573571
"Ikzf4",0.302596,0.693699,0.532948,0.39789,0.232846,0.464322
"Olfr1391",0,0,0,0,0,0
"Vmn2r118",0,0,0,0,0,0
"Ube2j2",15.677572,17.426837,15.335248,16.353361,19.290892,19.442395
"Mrpl58",15.07798,17.178676,12.771383,16.265215,21.418758,15.967298
"Acsbg1",0.504205,0.871157,1.610205,1.077658,0.59161,0.947725
"Gm47841",0,0,0,0.066982,0,0
"Saxo2",0.505828,0.500658,0.286476,0.468082,0.270081,0.116837
"Bpifb5",0.057844,0.070688,0,0,0,0
"Susd1",1.420714,1.350461,3.072694,1.457606,1.237643,2.405441
"Rnf145",16.602588,20.085255,22.013474,15.081401,11.22875,16.698922
"H13",36.030388,39.271153,31.213623,31.732302,31.029314,36.976714
"Klhl3",0.307317,0.589414,0.260787,0.367194,0.20251,0.307299
"Nepn",0.743783,0.228533,1.09951,0.727283,1.027374,1.550489
"NewGene_4808",0,0,0.378977,0.350544,0.079976,0.585812
"NewGene_4809",8.52634,16.860876,6.64933,5.800697,4.389624,15.578204
"NewGene_4804",0.11163,0.139245,0.574119,0.367031,0,0.575644
"Ifna6",0,0,0,0,0,0
"Vmn1r83",0,0,0,0,0,0
"NewGene_4807",0.844384,0.920703,1.580849,1.079769,0.968102,0.951491
"NewGene_4800",2.119073,2.041976,0.525054,0.355358,0,2.478038
"NewGene_4801",7.083811,13.565309,0.19311,1.027685,0.367568,0.735322
"NewGene_4802",0.903495,4.422968,0.667317,1.212424,0.675234,2.907096
"Mrpl48",9.400882,12.715086,9.254534,13.702525,13.426008,12.68316
"Coro1a",11.958891,12.460655,10.347981,13.632327,7.458636,27.684846
"Rab6a",27.648782,28.776807,36.730951,26.189625,24.393401,27.917179
"Gdpd3",100.559357,128.352249,100.215805,93.92421,93.613739,95.087158
"Plekhb1",16.681937,25.056288,14.090396,13.316211,12.464189,15.020536
"Dnajb13",1.694762,3.325286,1.120776,0.543027,0.564726,0.651472
"Olfr1311",0,0,0,0,0,0
"Slc39a4",0.820083,1.25332,0.186142,0.192616,0.282009,0.769899
"Hs3st6",0.150085,0.849819,0.757146,1.057647,0.597869,0.892746
"Strip2",1.078993,1.452376,5.487542,2.527742,2.379359,3.29986
"Olfr874",0,0,0,0,0,0
"Ap5z1",2.305027,3.160873,2.23159,2.766345,2.368403,3.07944
"Trmt9b",1.261154,1.193572,1.249744,1.462417,1.113225,1.126901
"Prex1",3.186965,5.450703,3.203498,2.748934,2.675523,3.9832
"Mapk1",29.303604,26.885059,38.223041,26.922785,26.31904,32.232898
"Dmrt2",5.283784,7.41368,20.788107,12.156987,8.438271,11.494663
"Lrtm2",0.04935,0.050411,0.062253,0.039324,0.042562,0.044468
"Olfr538",0,0,0,0,0,0
"Galnt6",0.445357,0.548249,0.407333,0.223451,0.212872,0.562008
"Stag1",5.273439,6.239276,9.229796,5.273374,4.661916,5.468612
"Tbcel",2.283461,2.292827,2.859766,2.023609,2.115489,2.371235
"Gm20441",0,0.086182,0,0,0,0
"Gm5565",0,0,0,0,0.114563,0
"Olfr50",0,0,0,0,0,0
"Egfl6",0.207455,0.827411,0.559435,0.171176,0.052839,0.257469
"Naaladl2",0.807625,1.135601,0.722211,0.378949,0.240667,0.148832
"Isca2",69.241621,46.440706,42.523103,55.349112,75.92852,58.715889
"Abcd4",8.059625,5.712847,4.683148,6.011982,8.543241,7.082314
"Fcf1",31.628469,30.604383,29.046609,34.15538,39.423528,35.84411
"Npc2",96.873108,99.884094,122.286568,130.969818,106.909943,126.764435
"Mlh3",2.664389,2.441906,3.040627,2.442495,1.742262,1.428298
"Gm7694",1.196825,2.498126,0.916377,0.802347,0.527149,1.323992
"Hmgb4",0,0,0,0,0,0
"Sult3a2",0,0,0,0,0,0
"Tas1r3",0.120317,0.249704,0.095964,0.072698,0.167682,0.219991
"Cptp",3.273693,4.519057,3.589964,5.01636,3.441277,4.420614
"Mxra8",23.168415,30.055121,45.145034,30.126162,24.394244,43.700217
"Dvl1",16.970116,22.153252,14.897191,19.153828,21.017508,16.808804
"Sdf4",29.224728,36.536872,41.548557,37.500518,35.613369,41.958561
"Ttll10",0.225053,1.018044,0.314399,0.260427,0.187497,0.124083
"Tnfrsf4",0.224045,0.515583,0.240029,0.823556,0.326312,1.01116
"Krt88",0,0,0,0.044725,0,0.041237
"Nr6a1",0.362336,0.676347,0.545154,0.345251,0.335713,0.501421
"Slco1a5",0.23272,1.18342,0.601749,0.451523,0.29312,0.480263
"Pthlh",1.016025,0.402338,0.714684,0.715657,0.347559,1.370174
"Gpihbp1",84.831605,97.231333,108.910199,124.293246,117.237415,113.942552
"Ly6h",0.439304,0.426947,0.263464,0.573757,0.161215,0.25069
"Naprt",9.925499,6.527832,5.16607,7.896348,11.369546,10.625859
"Gsdmd",3.8482,5.200276,5.391467,5.189672,2.966853,6.902172
"Tsta3",18.827888,20.019096,13.897199,14.638961,16.174454,18.075148
"Pycrl",15.973854,13.509442,10.239445,13.987518,16.875757,17.189499
"Phox2b",0,0,0,0,0,0
"Uba1y",0,0,0,0,0,0
"Rpl34",6.510356,8.994109,2.587914,10.254382,6.872947,3.978875
"Hsh2d",0.067392,0.137958,0.090331,0.069375,0.158686,0.026709
"NewGene_4454",0,0,0,0.061477,0,0.292803
"NewGene_4453",0.208875,0.21296,0.158756,0.467775,0.284318,0.439236
"NewGene_4452",0,0,0.28894,0.243347,0.289529,0.097098
"Lrrc7",0,0,0.020605,0.005088,0,0.005036
"Olfr1509",0,0,0,0,0,0
